#_1.r   2.|psi|   3.d|psi|/dr 

  0.0000    2.2062e+00    0.0000e+00
  0.0100    2.2060e+00   -4.2653e-02
  0.0200    2.2053e+00   -8.5263e-02
  0.0300    2.2043e+00   -1.2779e-01
  0.0400    2.2028e+00   -1.7018e-01
  0.0500    2.2009e+00   -2.1240e-01
  0.0600    2.1985e+00   -2.5440e-01
  0.0700    2.1958e+00   -2.9615e-01
  0.0800    2.1926e+00   -3.3760e-01
  0.0900    2.1890e+00   -3.7871e-01
  0.1000    2.1850e+00   -4.1944e-01
  0.1100    2.1807e+00   -4.5976e-01
  0.1200    2.1759e+00   -4.9961e-01
  0.1300    2.1707e+00   -5.3898e-01
  0.1400    2.1651e+00   -5.7782e-01
  0.1500    2.1591e+00   -6.1610e-01
  0.1600    2.1528e+00   -6.5379e-01
  0.1700    2.1460e+00   -6.9085e-01
  0.1800    2.1389e+00   -7.2725e-01
  0.1900    2.1315e+00   -7.6297e-01
  0.2000    2.1237e+00   -7.9798e-01
  0.2100    2.1155e+00   -8.3225e-01
  0.2200    2.1070e+00   -8.6576e-01
  0.2300    2.0982e+00   -8.9849e-01
  0.2400    2.0891e+00   -9.3041e-01
  0.2500    2.0796e+00   -9.6151e-01
  0.2600    2.0698e+00   -9.9177e-01
  0.2700    2.0598e+00   -1.0212e+00
  0.2800    2.0494e+00   -1.0497e+00
  0.2900    2.0388e+00   -1.0774e+00
  0.3000    2.0279e+00   -1.1041e+00
  0.3100    2.0167e+00   -1.1300e+00
  0.3200    2.0053e+00   -1.1549e+00
  0.3300    1.9936e+00   -1.1790e+00
  0.3400    1.9817e+00   -1.2021e+00
  0.3500    1.9696e+00   -1.2243e+00
  0.3600    1.9572e+00   -1.2455e+00
  0.3700    1.9447e+00   -1.2659e+00
  0.3800    1.9319e+00   -1.2853e+00
  0.3900    1.9190e+00   -1.3038e+00
  0.4000    1.9058e+00   -1.3214e+00
  0.4100    1.8925e+00   -1.3381e+00
  0.4200    1.8791e+00   -1.3538e+00
  0.4300    1.8655e+00   -1.3687e+00
  0.4400    1.8517e+00   -1.3827e+00
  0.4500    1.8378e+00   -1.3958e+00
  0.4600    1.8238e+00   -1.4081e+00
  0.4700    1.8097e+00   -1.4195e+00
  0.4800    1.7954e+00   -1.4300e+00
  0.4900    1.7811e+00   -1.4397e+00
  0.5000    1.7666e+00   -1.4486e+00
  0.5100    1.7521e+00   -1.4567e+00
  0.5200    1.7375e+00   -1.4640e+00
  0.5300    1.7228e+00   -1.4706e+00
  0.5400    1.7081e+00   -1.4764e+00
  0.5500    1.6933e+00   -1.4814e+00
  0.5600    1.6785e+00   -1.4857e+00
  0.5700    1.6636e+00   -1.4893e+00
  0.5800    1.6487e+00   -1.4923e+00
  0.5900    1.6337e+00   -1.4945e+00
  0.6000    1.6188e+00   -1.4962e+00
  0.6100    1.6038e+00   -1.4971e+00
  0.6200    1.5888e+00   -1.4975e+00
